game_number	player_bankrupt	turn
692	Alice	36
692	Bob	46
691	Charly	46
691	Bob	54
691	Hero	63
690	Bob	74
690	Hero	80
690	Charly	87
694	Hero	49
694	Charly	50
694	Bob	60
697	Bob	25
697	Hero	26
697	Charly	32
693	Charly	100
693	Hero	129
693	Alice	146
700	Charly	27
700	Alice	40
700	Bob	73
702	Charly	39
702	Bob	41
702	Hero	56
703	Hero	73
703	Bob	88
703	Alice	92
705	Alice	26
705	Bob	30
705	Hero	36
704	Alice	41
704	Hero	48
704	Bob	59
707	Bob	20
707	Hero	26
707	Alice	41
706	Bob	50
706	Alice	68
706	Charly	84
708	Alice	70
708	Bob	86
708	Charly	86
710	Charly	43
710	Hero	47
710	Alice	59
712	Charly	35
712	Alice	53
712	Bob	68
714	Bob	22
714	Charly	32
714	Hero	41
715	Charly	42
715	Alice	51
715	Bob	69
716	Charly	34
716	Bob	40
716	Hero	64
718	Hero	59
718	Alice	63
718	Charly	64
719	Charly	43
719	Hero	52
719	Alice	58
722	Alice	55
722	Charly	56
722	Bob	56
721	Hero	71
721	Alice	75
721	Bob	76
720	Hero	59
720	Alice	70
720	Bob	100
724	Bob	40
724	Alice	40
724	Hero	41
725	Alice	31
725	Hero	35
725	Charly	38
726	Charly	47
726	Alice	57
726	Bob	60
723	Hero	42
723	Alice	48
723	Bob	62
729	Charly	26
729	Hero	31
729	Alice	34
728	Bob	38
728	Charly	41
728	Alice	45
727	Charly	44
727	Bob	52
727	Hero	70
731	Charly	42
731	Hero	42
731	Alice	48
733	Charly	39
733	Hero	39
733	Alice	53
732	Charly	41
732	Alice	42
732	Bob	60
734	Hero	42
734	Charly	46
734	Alice	65
736	Alice	41
736	Bob	43
736	Hero	45
737	Bob	32
737	Alice	43
737	Charly	47
738	Charly	47
738	Hero	48
738	Alice	53
739	Hero	36
739	Bob	39
739	Charly	52
742	Bob	22
742	Hero	30
742	Alice	42
741	Charly	44
741	Alice	45
741	Bob	47
744	Alice	68
744	Charly	98
744	Bob	116
747	Hero	28
747	Bob	33
747	Alice	37
746	Charly	50
746	Bob	58
746	Alice	68
